DEVICE_A;PORT_A;TRANSCEIVER_A;DEVICE_B;PORT_B;TRANSCEIVER_B;STATUS;SPEED;DUPLEX;TYPE;VLAN;DESCRIPTION;NOTE
1NP-ACCESS1;Gig2/0/44;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig2/0/45;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig2/0/46;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig2/0/47;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig2/0/48;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Ten2/1/2;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Ten2/1/3;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Ten2/1/4;-;;;;DOWN;;;;; ;
1NP-ACCESS1;Gig3/0/1;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/2;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/3;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/4;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/5;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/6;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/7;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/8;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/9;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/10;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/11;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/12;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
1NP-ACCESS1;Gig3/0/13;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
