DEVICE_A;PORT_A;TRANSCEIVER_A;DEVICE_B;PORT_B;TRANSCEIVER_B;STATUS;SPEED;DUPLEX;TYPE;VLAN;DESCRIPTION;NOTE
3NP-ACCESS1;Gig1/0/1;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/2;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/3;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/4;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/5;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/6;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/7;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/8;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/9;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/0/10;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/11;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/12;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/13;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/14;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/15;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/16;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/17;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/18;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/19;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/20;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/21;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/22;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/23;10/100/1000BaseTX;AP;Port1;10/100/1000BaseTX;UP;1G;Full;Access;350;AP Port1;
3NP-ACCESS1;Gig1/0/24;10/100/1000BaseTX;USER;;;UP;;;Access;100;USER ;
3NP-ACCESS1;Gig1/1/3;-;;;;DOWN;;;;; ;
3NP-ACCESS1;Gig1/1/4;-;;;;DOWN;;;;; ;
